Lake,CATCH_ID,Year,Date,Location,Season,Subsample,Tot_vol(L),Sub_vol(L),Flag,Comments,F182,F183,F209,F214,F382,Minnows
373,5,1988,24-May-88,,aSpring,,,,,,48.2,0.6,,32.6,0,81.4
373,6,1988,25-May-88,,aSpring,,,,,,137,5,,20,0,162
373,7,1988,27-Sep-88,,zFall,,,,,,0,0,,6,0,6
373,11,1988,09-Oct-88,,zFall,,,,,,0,0,,6.5,0,6.5
373,12,1988,13-Oct-88,,zFall,,,,,,0,0,,1,0,1
373,13,1989,12-May-89,,aSpring,,,,,,0.5,0,,3,0,3.5
373,14,1989,17-May-89,,aSpring,,,,,,0.4,0,,2.8,0,3.2
373,15,1989,25-May-89,,aSpring,,,,,,25.33333333,0,,9.333333333,0,34.66666667
373,16,1989,12-Sep-89,,zFall,,,,,Herb&Jim - 6 fhm?,0,0.4,,36.4,0,36.8
373,17,1989,19-Sep-89,,zFall,,,,,,5.428571429,0.142857143,,0,0,5.571428571
373,19,1989,28-Sep-89,,zFall,,,,,,52.33333333,0,,4.666666667,0.333333333,57
373,21,1990,10-May-90,,aSpring,,,,,,21.66666667,0,,14,0,35.66666667
373,22,1990,15-May-90,,aSpring,,,,,,0.4,0,,0,0,0.4
373,23,1990,22-May-90,,aSpring,,,,,funnellines disconnected,0.857142857,0.142857143,,0.285714286,0,1.285714286
373,24,1990,24-May-90,,aSpring,,,,,,8.5,0,,0,0,8.5
373,25,1990,28-May-90,,aSpring,,,,,,29,0.5,,14,0,43.5
373,26,1990,01-Jun-90,,aSpring,,,,,,0,0,,0.666666667,0,0.666666667
373,27,1990,06-Jun-90,,aSpring,,,,,,0.2,0,,0.2,0,0.4
373,28,1990,24-Sep-90,,zFall,,,,,,0.8,0.2,,0,0,1
373,29,1990,27-Sep-90,,zFall,,,,,,16.66666667,0,,1.666666667,0,18.33333333
373,30,1991,09-May-91,,aSpring,,,,,,1,0,,0.666666667,0,1.666666667
373,31,1991,15-May-91,,aSpring,,,,,,0,0,,2.666666667,0,2.666666667
373,32,1991,24-May-91,,aSpring,,,,,"1 net 2 days, 1 net 4 days",14.16666667,5.833333333,,3.666666667,0,23.66666667
373,33,1991,12-Sep-91,,zFall,,,,,,0,0.333333333,,4.333333333,0,4.666666667
373,34,1991,18-Sep-91,,zFall,,,,,,0,6.5,,2,0,8.5
373,36,1992,27-May-92,,aSpring,,,,,,0.8,2.8,,1.6,0,5.2
373,37,1992,02-Jun-92,,aSpring,,,,,,5.833333333,11.66666667,,1.666666667,0,19.16666667
373,38,1992,09-Jun-92,,aSpring,,,,,,0,0,,6.714285714,0,6.714285714
373,39,1992,24-Sep-92,,zFall,,,,,,0,2,,2,0,4
373,40,1992,02-Oct-92,,zFall,,,,,,0.125,0,,0.375,0,0.5
373,41,1992,07-Oct-92,,zFall,,,,,,0.2,0,,0,0,0.2
373,42,1993,17-May-93,,aSpring,,,,,,0.333333333,0,,0,0,0.333333333
373,43,1993,25-May-93,,aSpring,,,,,,1,0,,0.25,0,1.25
373,44,1993,31-May-93,,aSpring,,,,,,4.666666667,0,,5.166666667,0,9.833333333
373,45,1993,03-Jun-93,,aSpring,,,,,,2,0,,2.333333333,0,4.333333333
373,46,1993,08-Jun-93,,aSpring,,,,,,3.6,0,,3.4,0,7
373,47,1993,27-Sep-93,,zFall,,,,,,0.6,0,,0,0,0.6
373,48,1993,01-Oct-93,,zFall,,,,,,1.75,0,,0.5,0,2.25
373,49,1993,07-Oct-93,,zFall,,,,,,0,0,,1,0,1
373,50,1993,12-Oct-93,,zFall,,,,,,0.2,0,,0,0,0.2
373,51,1994,12-May-94,,aSpring,,,,,,0,0,,4,0,4
373,52,1994,01-Jun-94,,aSpring,,,,,,0.8,0,,0.2,0,1
